일자,대형주,중형주,소형주,국고채3년
2017-03-31,1748.91,1128.95,309.79,0.0171
2017-04-28,1792.27,1146.36,319,0.0168
2017-05-31,1902.52,1213.32,336.78,0.017
2017-06-30,1957.97,1216.13,341.47,0.0167
2017-07-31,1977.14,1204.14,332.56,0.0174
2017-08-31,1938.23,1198.87,332.3,0.0178
2017-09-29,2003.74,1173.68,316.27,0.0179
2017-10-31,2121.17,1233.81,331.86,0.0203
2017-11-30,2070.64,1304.08,362.52,0.0215
2017-12-28,2079.52,1296.36,372.54,0.021
2018-01-31,2155.65,1391.33,410.64,0.0219
2018-02-28,2039.74,1299.54,388.67,0.0228
2018-03-30,2054.65,1315.28,399.91,0.0227
2018-04-30,2107.35,1346.32,413.71,0.0219
2018-05-31,2021,1346.07,402.4,0.0225
2018-06-29,1950.79,1244.46,378.84,0.0218
2018-07-31,1932.11,1185.98,371.85,0.021
2018-08-31,1960.16,1233.14,385.88,0.0202
2018-09-28,1964.59,1255.84,388.3,0.0195
2018-10-31,1724.97,1027.94,310.42,0.0201
2018-11-30,1763.97,1115.75,329.55,0.0194
2018-12-28,1703.49,1098.45,314.89,0.0183
2019-01-31,1861.87,1137.66,333.29,0.0181
2019-02-28,1847.5,1158.44,341.12,0.018
2019-03-29,1800.09,1127.99,343,0.0179
2019-04-30,1856.21,1144.72,353.76,0.0174
2019-05-31,1717.75,1050.48,328.29,0.0168
2019-06-28,1801.09,1042.78,329.36,0.015
2019-07-31,1731.42,973.05,298.1,0.0138
2019-08-30,1680.24,947.92,286.87,0.0116
2019-09-30,1772.47,972.51,292.29,0.0129
2019-10-31,1804.19,1001.72,294.15,0.0136
2019-11-29,1803.02,993.38,290.36,0.0149
2019-12-30,1917.97,1041.7,308.62,0.0139
2020-01-31,1863.58,965.27,289.29,0.0137
